Idade	Genero	Estado_civil	Renda_mensal	Refeicao_mais_frequente	Avaliacao_media_anterior	Influenciado_por_nota
24	Feminino	Outros	Até 5.000	Lanches	>= 4,5	1
32	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
25	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	0
22	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
25	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
28	Masculino	Solteiro	Mais de 5.000	Lanches	< 4,5	1
44	Feminino	Outros	Até 5.000	Lanches	< 4,5	0
23	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
32	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	0
19	Masculino	Solteiro	Mais de 5.000	Lanches	< 4,5	0
22	Masculino	Casado	Mais de 5.000	Lanches	>= 4,5	1
24	Masculino	Casado	Até 5.000	Café da manhã	>= 4,5	1
34	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
32	Masculino	Outros	Mais de 5.000	Lanches	>= 4,5	1
34	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	0
26	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
31	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
33	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
21	Masculino	Casado	Mais de 5.000	Café da manhã	< 4,5	0
33	Masculino	Solteiro	Até 5.000	Jantar	< 4,5	1
23	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	1
28	Masculino	Solteiro	Até 5.000	Almoço	< 4,5	0
19	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
29	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
23	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
34	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	1
19	Masculino	Solteiro	Até 5.000	Lanches	>= 4,5	0
34	Masculino	Casado	Mais de 5.000	Café da manhã	>= 4,5	0
24	Feminino	Solteiro	Mais de 5.000	Lanches	< 4,5	0
