ID_Cliente	N_pedidos	Valor	Dist_m_restaurante	Tempo_m_entrega
128216	4	29	2.2	22
128567	2	692	3.8	21
128653	23	2754	2.7	23
128772	1	111	3.8	54
128819	24	7040	2.2	16
128860	1	362	3.3	35
129066	2	1985	1.1	23
129153	11	3037	4	33
129309	34	4399	2.2	56
129719	4	1375	1.7	36
130064	4	1842	4.1	52
130296	3	1713	1.8	53
130297	21	6560	2.4	37
130478	17	1498	2.6	50
130686	10	407	3.1	19
130741	1	599	0	48
131005	5	286	2.5	41
131081	2	401	2.9	47
131703	9	632	2	35
131755	5	1205	2.4	37
131796	6	327	1.7	19
132102	8	3067	2.9	35
132157	1	870	3.8	57
132192	1	199	3.6	59
132430	53	11726	2.1	19
132859	1	66	3.7	26
132961	3	2595	3.1	70
133010	8	1750	2.5	52
133295	11	1509	2.3	22
133653	3	2078	2.4	29
133726	3	971	1.8	29
133826	2	822	2.6	33
133860	1	135	1.7	28
134136	12	372	3	22
134468	3	934	2.5	28
134573	2	230	2.5	54
134821	11	5412	2.2	30
134829	1	335	2.4	56
135134	1	198	4	31
135258	1	115	2.8	31
135426	4	904	2.4	20
135493	2	2909	2.1	40
135582	47	29529	3.1	26
135766	1	205	2.5	50
135829	5	596	3.3	19
135948	2	107	1.3	40
136027	1	57	1.2	32
136370	4	1299	1.7	26
136651	2	1368	1.5	54
136702	33	28136	2.5	47
136705	1	188	1.2	31
136748	1	399	3.5	52
136846	8	949	1.6	32
136976	1	727	3.8	41
137037	11	2843	2.9	61
137063	6	2201	2.6	52
137100	1	415	1.6	26
137280	2	2012	2.5	27
137303	7	1762	2.4	24
137435	1	351	2.9	16
137442	17	5425	2.4	22
137465	4	627	1.8	28
137491	2	121	0.6	54
137506	4	2614	1.8	37
137574	3	6962	3.9	40
137650	4	153	3.6	35
137655	3	1003	1.7	47
137720	5	3110	3.2	52
137862	11	621	2.7	64
138243	56	4153	2.3	54
138332	35	7696	2	17
138461	2	521	3.4	31
138503	9	95	3.2	57
138513	1	299	3.5	59
138662	1	532	3.8	36
